"amount","creditAccount","currency","debitAccount","id","ref"
"4.0","TEST86","RON","TEST53","121","PAY"
"14.0","TEST20","RON","TEST14","122","PAY"
"16.0","TEST94","RON","TEST53","123","PAY"
"10.0","TEST5","RON","TEST37","124","PAY"
"1.0","TEST19","RON","TEST3","125","PAY"
"10.0","TEST42","RON","TEST48","126","PAY"
"3.0","TEST61","RON","TEST76","127","PAY"
"5.0","TEST84","RON","TEST93","128","PAY"
"1.0","TEST7","RON","TEST50","129","PAY"
"9.0","TEST28","RON","TEST98","130","PAY"
"4.0","TEST98","RON","CONTADMIN","131","PAY"
"2.0","TEST92","RON","TEST56","132","PAY"
"4.0","TEST7","RON","TEST45","133","PAY"
"16.0","TEST25","RON","TEST33","134","PAY"
"5.0","TEST7","RON","TEST86","135","PAY"
"2.0","TEST76","RON","TEST58","136","PAY"
"17.0","TEST61","RON","TEST86","137","PAY"
"17.0","TEST16","RON","TEST76","138","PAY"
"11.0","TEST43","RON","TEST72","139","PAY"
"4.0","TEST95","RON","TEST2","140","PAY"
"11.0","TEST69","RON","TEST51","141","PAY"
"14.0","TEST52","RON","TEST29","142","PAY"
"18.0","TEST91","RON","TEST88","143","PAY"
"14.0","TEST8","RON","TEST99","144","PAY"
"3.0","TEST57","RON","TEST54","145","PAY"
"10.0","TEST98","RON","TEST74","146","PAY"
"19.0","TEST12","RON","TEST28","147","PAY"
"6.0","TEST7","RON","TEST56","148","PAY"
"7.0","TEST63","RON","TEST50","149","PAY"
"18.0","TEST84","RON","TEST5","150","PAY"
"5.0","TEST44","RON","TEST38","151","PAY"
"20.0","TEST24","RON","TEST75","152","PAY"
"14.0","TEST89","RON","TEST45","153","PAY"
"14.0","CONTADMIN0","RON","TEST16","154","PAY"
"5.0","TEST18","RON","TEST89","155","PAY"
"13.0","TEST82","RON","TEST55","156","PAY"
"20.0","TEST86","RON","TEST14","157","PAY"
"11.0","TEST22","RON","TEST4","158","PAY"
"5.0","TEST2","RON","TEST4","159","PAY"
"6.0","TEST49","RON","TEST42","160","PAY"
"17.0","TEST42","RON","TEST19","161","PAY"
"5.0","TEST76","RON","TEST56","162","PAY"
"17.0","TEST19","RON","TEST93","163","PAY"
"11.0","TEST86","RON","TEST96","164","PAY"
"15.0","TEST64","RON","TEST97","165","PAY"
"2.0","TEST45","RON","TEST19","166","PAY"
"10.0","TEST91","RON","TEST51","167","PAY"
"11.0","TEST83","RON","TEST53","168","PAY"
"1.0","TEST33","RON","TEST78","169","PAY"
"8.0","TEST22","RON","TEST84","170","PAY"
"2.0","TEST23","RON","TEST34","171","PAY"
"12.0","TEST57","RON","TEST3","172","PAY"
"3.0","TEST97","RON","TEST2","173","PAY"
"5.0","TEST68","RON","TEST18","174","PAY"
"16.0","TEST45","RON","TEST66","175","PAY"
"13.0","TEST91","RON","TEST11","176","PAY"
"7.0","TEST37","RON","TEST50","177","PAY"
"13.0","TEST90","RON","TEST7","178","PAY"
"8.0","TEST78","RON","TEST69","179","PAY"
"1.0","TEST10","RON","TEST54","180","PAY"
"17.0","TEST18","RON","TEST45","181","PAY"
"10.0","TEST49","RON","TEST87","182","PAY"
"20.0","TEST6","RON","TEST73","183","PAY"
"12.0","TEST66","RON","TEST86","184","PAY"
"4.0","TEST53","RON","TEST16","185","PAY"
"17.0","TEST41","RON","TEST54","186","PAY"
"4.0","TEST14","RON","TEST1","187","PAY"
"4.0","TEST68","RON","TEST28","188","PAY"
"10.0","TEST78","RON","TEST22","189","PAY"
"20.0","TEST68","RON","TEST22","190","PAY"
"8.0","TEST6","RON","TEST61","191","PAY"
"12.0","TEST51","RON","TEST72","192","PAY"
"10.0","TEST69","RON","TEST19","193","PAY"
"8.0","TEST4","RON","TEST21","194","PAY"
"16.0","TEST45","RON","TEST64","195","PAY"
"13.0","TEST15","RON","TEST12","196","PAY"
"9.0","TEST98","RON","TEST5","197","PAY"
"20.0","TEST20","RON","TEST90","198","PAY"
"7.0","TEST69","RON","TEST54","199","PAY"
"14.0","TEST68","RON","TEST3","200","PAY"
"14.0","TEST59","RON","TEST74","201","PAY"
"5.0","TEST23","RON","TEST40","202","PAY"
"9.0","TEST6","RON","TEST92","203","PAY"
"11.0","TEST70","RON","TEST51","204","PAY"
"7.0","TEST49","RON","TEST7","205","PAY"
"1.0","TEST84","RON","TEST58","206","PAY"
"16.0","TEST2","RON","TEST47","207","PAY"
"16.0","TEST59","RON","TEST54","208","PAY"
"10.0","TEST86","RON","TEST9","209","PAY"
"7.0","TEST96","RON","TEST72","210","PAY"
"15.0","TEST13","RON","TEST79","211","PAY"
"19.0","TEST15","RON","TEST32","212","PAY"
"4.0","TEST83","RON","TEST18","213","PAY"
"8.0","TEST79","RON","TEST63","214","PAY"
"14.0","TEST14","RON","TEST47","215","PAY"
"19.0","CONTADMIN","RON","TEST43","216","PAY"
"5.0","TEST82","RON","TEST42","217","PAY"
"12.0","TEST83","RON","TEST76","218","PAY"
"17.0","TEST29","RON","TEST61","219","PAY"
"4.0","TEST49","RON","TEST61","220","PAY"
"13.0","TEST42","RON","TEST30","221","PAY"
"16.0","TEST74","RON","TEST78","222","PAY"
"11.0","TEST33","RON","TEST64","223","PAY"
"4.0","TEST21","RON","TEST99","224","PAY"
"12.0","TEST58","RON","TEST63","225","PAY"
"17.0","TEST43","RON","TEST11","226","PAY"
"18.0","TEST15","RON","TEST86","227","PAY"
"8.0","TEST12","RON","TEST21","228","PAY"
"5.0","TEST28","RON","TEST74","229","PAY"
"3.0","TEST74","RON","TEST39","230","PAY"
"18.0","TEST44","RON","TEST29","231","PAY"
"4.0","TEST36","RON","TEST24","232","PAY"
"9.0","TEST17","RON","TEST63","233","PAY"
"3.0","TEST83","RON","TEST19","234","PAY"
"12.0","TEST43","RON","TEST36","235","PAY"
"1.0","TEST26","RON","TEST48","236","PAY"
"6.0","TEST33","RON","TEST80","237","PAY"
"19.0","TEST52","RON","TEST95","238","PAY"
"11.0","TEST7","RON","TEST51","239","PAY"
"17.0","TEST13","RON","TEST55","240","PAY"
"11.0","TEST25","RON","TEST62","241","PAY"
"19.0","TEST28","RON","TEST15","242","PAY"
"13.0","TEST76","RON","TEST24","243","PAY"
"5.0","TEST13","RON","TEST84","244","PAY"
"16.0","TEST94","RON","TEST78","245","PAY"
"17.0","TEST95","RON","TEST52","246","PAY"
"11.0","TEST45","RON","TEST18","247","PAY"
"7.0","TEST49","RON","TEST53","248","PAY"
"6.0","TEST96","RON","TEST98","249","PAY"
"14.0","TEST6","RON","TEST92","250","PAY"
"3.0","TEST5","RON","TEST32","251","PAY"
"20.0","TEST75","RON","TEST79","252","PAY"
"2.0","TEST49","RON","TEST21","253","PAY"
"16.0","TEST47","RON","TEST7","254","PAY"
"18.0","TEST31","RON","TEST62","255","PAY"
"20.0","TEST5","RON","TEST18","256","PAY"
"13.0","TEST44","RON","TEST64","257","PAY"
"5.0","TEST3","RON","TEST59","258","PAY"
"7.0","TEST72","RON","TEST87","259","PAY"
"13.0","TEST92","RON","TEST9","260","PAY"
"17.0","TEST7","RON","TEST52","261","PAY"
"19.0","TEST98","RON","TEST19","262","PAY"
"11.0","TEST61","RON","TEST7","263","PAY"
"15.0","TEST7","RON","TEST66","264","PAY"
"17.0","TEST19","RON","TEST75","265","PAY"
"10.0","TEST72","RON","TEST86","266","PAY"
"11.0","TEST77","RON","TEST35","267","PAY"
"9.0","TEST12","RON","TEST28","268","PAY"
"2.0","TEST65","RON","TEST82","269","PAY"
"2.0","TEST7","RON","TEST66","270","PAY"
"7.0","TEST47","RON","TEST25","271","PAY"
"1.0","TEST20","RON","TEST43","272","PAY"
"2.0","TEST44","RON","TEST93","273","PAY"
"17.0","TEST41","RON","TEST83","274","PAY"
"17.0","TEST51","RON","TEST97","275","PAY"
"2.0","TEST76","RON","TEST16","276","PAY"
"4.0","TEST53","RON","TEST85","277","PAY"
"8.0","TEST65","RON","TEST92","278","PAY"
"19.0","TEST94","RON","TEST22","279","PAY"
"3.0","TEST72","RON","TEST52","280","PAY"
"2.0","TEST99","RON","TEST33","281","PAY"
"3.0","TEST64","RON","TEST12","282","PAY"
"10.0","TEST22","RON","TEST86","283","PAY"
"13.0","TEST27","RON","TEST83","284","PAY"
"13.0","TEST82","RON","TEST96","285","PAY"
"12.0","TEST6","RON","TEST30","286","PAY"
"5.0","TEST98","RON","TEST9","287","PAY"
"13.0","TEST6","RON","TEST45","288","PAY"
"12.0","TEST17","RON","TEST21","289","PAY"
"10.0","TEST88","RON","TEST39","290","PAY"
"2.0","TEST85","RON","TEST1","291","PAY"
"12.0","TEST95","RON","TEST86","292","PAY"
"4.0","TEST81","RON","TEST20","293","PAY"
"11.0","TEST58","RON","TEST59","294","PAY"
"12.0","TEST86","RON","TEST15","295","PAY"
"16.0","TEST33","RON","TEST93","296","PAY"
"2.0","TEST98","RON","TEST93","297","PAY"
"18.0","TEST47","RON","TEST54","298","PAY"
"13.0","TEST58","RON","TEST78","299","PAY"
"16.0","TEST25","RON","TEST36","300","PAY"
"10.0","TEST26","RON","TEST50","301","PAY"
"20.0","CONTADMIN0","RON","TEST21","302","PAY"
"18.0","TEST33","RON","TEST34","303","PAY"
"13.0","TEST35","RON","TEST26","304","PAY"
"16.0","TEST46","RON","TEST11","305","PAY"
"1.0","TEST72","RON","TEST81","306","PAY"
"5.0","TEST75","RON","TEST76","307","PAY"
"11.0","CONTADMIN0","RON","TEST22","308","PAY"
"6.0","TEST8","RON","TEST83","309","PAY"
"15.0","TEST41","RON","TEST88","310","PAY"
"7.0","TEST31","RON","TEST74","311","PAY"
"3.0","TEST44","RON","TEST74","312","PAY"
"10.0","TEST37","RON","TEST78","313","PAY"
"20.0","TEST13","RON","TEST59","314","PAY"
"16.0","TEST21","RON","TEST9","315","PAY"
"14.0","TEST59","RON","TEST46","316","PAY"
"10.0","TEST89","RON","TEST95","317","PAY"
"4.0","TEST56","RON","TEST15","318","PAY"
"12.0","TEST59","RON","TEST33","319","PAY"
"20.0","TEST38","RON","TEST29","320","PAY"
"14.0","TEST54","RON","TEST72","321","PAY"
"3.0","TEST66","RON","TEST13","322","PAY"
"20.0","TEST8","RON","TEST42","323","PAY"
"4.0","TEST95","RON","TEST33","324","PAY"
"17.0","TEST18","RON","TEST63","325","PAY"
"20.0","TEST76","RON","TEST75","326","PAY"
"2.0","TEST68","RON","TEST85","327","PAY"
"12.0","TEST91","RON","TEST50","328","PAY"
"5.0","TEST35","RON","TEST60","329","PAY"
"4.0","TEST57","RON","TEST74","330","PAY"
"6.0","TEST58","RON","TEST81","331","PAY"
"5.0","TEST37","RON","TEST50","332","PAY"
"5.0","TEST80","RON","TEST70","333","PAY"
"7.0","TEST77","RON","TEST6","334","PAY"
"11.0","TEST25","RON","TEST53","335","PAY"
"15.0","TEST37","RON","TEST22","336","PAY"
"4.0","TEST16","RON","TEST18","337","PAY"
"8.0","TEST8","RON","TEST81","338","PAY"
"6.0","TEST98","RON","TEST6","339","PAY"
"15.0","TEST47","RON","TEST43","340","PAY"
"16.0","TEST78","RON","TEST38","341","PAY"
"8.0","CONTADMIN0","RON","TEST51","342","PAY"
"13.0","TEST27","RON","TEST48","343","PAY"
"19.0","TEST2","RON","TEST43","344","PAY"
"5.0","TEST50","RON","TEST21","345","PAY"
"4.0","TEST21","RON","TEST98","346","PAY"
"3.0","TEST97","RON","TEST90","347","PAY"
"12.0","TEST7","RON","TEST3","348","PAY"
"9.0","TEST90","RON","TEST45","349","PAY"
"4.0","TEST61","RON","TEST54","350","PAY"
"12.0","TEST1","RON","TEST13","351","PAY"
"3.0","TEST72","RON","TEST22","352","PAY"
"17.0","TEST86","RON","TEST99","353","PAY"
"12.0","TEST48","RON","TEST68","354","PAY"
"13.0","TEST3","RON","TEST52","355","PAY"
"17.0","TEST43","RON","TEST41","356","PAY"
"6.0","TEST36","RON","TEST8","357","PAY"
"19.0","TEST82","RON","TEST45","358","PAY"
"2.0","TEST76","RON","TEST58","359","PAY"
"5.0","TEST59","RON","TEST37","360","PAY"
"13.0","TEST20","RON","TEST97","361","PAY"
"3.0","TEST76","RON","TEST62","362","PAY"
"20.0","TEST50","RON","TEST36","363","PAY"
"4.0","TEST94","RON","TEST73","364","PAY"
"8.0","TEST55","RON","TEST20","365","PAY"
"8.0","TEST42","RON","TEST29","366","PAY"
"2.0","TEST46","RON","TEST10","367","PAY"
"17.0","TEST91","RON","TEST85","368","PAY"
"19.0","TEST29","RON","TEST52","369","PAY"
"9.0","TEST37","RON","TEST41","370","PAY"
"7.0","TEST77","RON","TEST17","371","PAY"
"3.0","TEST22","RON","TEST77","372","PAY"
"20.0","TEST7","RON","TEST86","373","PAY"
"8.0","TEST11","RON","TEST34","374","PAY"
"3.0","TEST79","RON","TEST76","375","PAY"
"19.0","TEST80","RON","TEST60","376","PAY"
"12.0","TEST22","RON","TEST74","377","PAY"
"15.0","TEST45","RON","TEST1","378","PAY"
"16.0","TEST53","RON","TEST62","379","PAY"
"14.0","TEST4","RON","TEST84","380","PAY"
"6.0","TEST93","RON","TEST3","381","PAY"
"7.0","TEST58","RON","TEST47","382","PAY"
"11.0","TEST79","RON","TEST87","383","PAY"
"8.0","TEST24","RON","TEST6","384","PAY"
"5.0","TEST28","RON","TEST63","385","PAY"
"2.0","TEST65","RON","TEST52","386","PAY"
"16.0","TEST92","RON","TEST26","387","PAY"
"9.0","TEST70","RON","TEST49","388","PAY"
"17.0","TEST41","RON","TEST78","389","PAY"
"13.0","TEST21","RON","TEST50","390","PAY"
"15.0","TEST68","RON","TEST26","391","PAY"
"4.0","TEST16","RON","TEST10","392","PAY"
"15.0","TEST60","RON","TEST18","393","PAY"
"19.0","TEST51","RON","TEST7","394","PAY"
"5.0","TEST28","RON","TEST8","395","PAY"
"19.0","TEST98","RON","TEST35","396","PAY"
"19.0","TEST88","RON","TEST59","397","PAY"
"14.0","TEST23","RON","TEST6","398","PAY"
"3.0","TEST68","RON","TEST31","399","PAY"
"1.0","TEST47","RON","TEST49","400","PAY"
"12.0","TEST92","RON","TEST32","401","PAY"
"16.0","TEST63","RON","TEST90","402","PAY"
"5.0","TEST23","RON","CONTADMIN","403","PAY"
"7.0","TEST54","RON","TEST49","404","PAY"
"8.0","TEST54","RON","TEST87","405","PAY"
"7.0","TEST89","RON","TEST95","406","PAY"
"16.0","TEST10","RON","TEST62","407","PAY"
"7.0","TEST94","RON","TEST60","408","PAY"
"9.0","TEST72","RON","TEST45","409","PAY"
"9.0","TEST93","RON","TEST22","410","PAY"
"14.0","TEST58","RON","TEST18","411","PAY"
"17.0","TEST99","RON","TEST28","412","PAY"
"12.0","TEST48","RON","TEST63","413","PAY"
"2.0","TEST29","RON","TEST23","414","PAY"
"11.0","TEST74","RON","TEST30","415","PAY"
"1.0","TEST31","RON","TEST22","416","PAY"
"12.0","TEST75","RON","TEST89","417","PAY"
"20.0","TEST18","RON","TEST38","418","PAY"
"10.0","TEST85","RON","TEST15","419","PAY"
"17.0","TEST58","RON","TEST16","420","PAY"
"11.0","TEST71","RON","TEST80","421","PAY"
"9.0","TEST64","RON","TEST91","422","PAY"
"13.0","TEST10","RON","TEST59","423","PAY"
"14.0","TEST13","RON","TEST72","424","PAY"
"18.0","TEST93","RON","TEST40","425","PAY"
"17.0","TEST15","RON","TEST40","426","PAY"
"14.0","CONTADMIN0","RON","TEST95","427","PAY"
"3.0","TEST25","RON","TEST97","428","PAY"
"19.0","TEST41","RON","TEST78","429","PAY"
"19.0","TEST89","RON","TEST66","430","PAY"
"18.0","CONTADMIN","RON","TEST44","431","PAY"
"5.0","TEST2","RON","TEST14","432","PAY"
"8.0","TEST61","RON","TEST88","433","PAY"
"1.0","TEST29","RON","TEST28","434","PAY"
"16.0","TEST82","RON","TEST13","435","PAY"
"10.0","TEST48","RON","TEST62","436","PAY"
"17.0","TEST86","RON","TEST24","437","PAY"
"5.0","TEST4","RON","TEST60","438","PAY"
"20.0","TEST52","RON","TEST70","439","PAY"
"18.0","TEST32","RON","TEST94","440","PAY"
"15.0","TEST71","RON","TEST30","441","PAY"
"19.0","TEST32","RON","TEST68","442","PAY"
"6.0","TEST22","RON","TEST96","443","PAY"
"1.0","TEST87","RON","TEST76","444","PAY"
"17.0","TEST2","RON","TEST59","445","PAY"
"13.0","TEST85","RON","TEST64","446","PAY"
"15.0","TEST72","RON","TEST63","447","PAY"
"12.0","TEST58","RON","TEST20","448","PAY"
"13.0","TEST68","RON","TEST65","449","PAY"
"14.0","TEST19","RON","TEST62","450","PAY"
"2.0","TEST9","RON","TEST81","451","PAY"
"20.0","TEST31","RON","TEST24","452","PAY"
"16.0","TEST72","RON","TEST41","453","PAY"
"2.0","TEST22","RON","TEST88","454","PAY"
"4.0","TEST43","RON","TEST70","455","PAY"
"17.0","TEST39","RON","TEST62","456","PAY"
"10.0","TEST77","RON","TEST16","457","PAY"
"16.0","TEST37","RON","TEST39","458","PAY"
"6.0","TEST46","RON","TEST32","459","PAY"
"7.0","CONTADMIN0","RON","TEST46","460","PAY"
"14.0","TEST83","RON","TEST11","461","PAY"
"13.0","TEST55","RON","TEST4","462","PAY"
"16.0","TEST31","RON","TEST2","463","PAY"
"3.0","CONTADMIN","RON","TEST48","464","PAY"
"18.0","TEST43","RON","TEST47","465","PAY"
"17.0","TEST8","RON","TEST87","466","PAY"
"11.0","TEST23","RON","TEST35","467","PAY"
"12.0","TEST29","RON","TEST49","468","PAY"
"3.0","TEST66","RON","TEST44","469","PAY"
"1.0","TEST71","RON","TEST31","470","PAY"
"15.0","TEST65","RON","TEST45","471","PAY"
"6.0","TEST4","RON","TEST23","472","PAY"
"19.0","TEST16","RON","TEST84","473","PAY"
"16.0","TEST18","RON","TEST61","474","PAY"
"20.0","TEST2","RON","TEST31","475","PAY"
"13.0","TEST69","RON","TEST20","476","PAY"
"3.0","TEST22","RON","TEST1","477","PAY"
"20.0","TEST70","RON","TEST9","478","PAY"
"19.0","TEST19","RON","TEST10","479","PAY"
"12.0","TEST93","RON","TEST63","480","PAY"
"5.0","TEST91","RON","TEST77","481","PAY"
"16.0","TEST52","RON","TEST39","482","PAY"
"10.0","TEST47","RON","TEST60","483","PAY"
"7.0","TEST55","RON","TEST33","484","PAY"
"20.0","TEST15","RON","TEST39","485","PAY"
"19.0","CONTADMIN0","RON","CONTADMIN","486","PAY"
"12.0","TEST59","RON","TEST60","487","PAY"
"19.0","TEST40","RON","TEST2","488","PAY"
"12.0","TEST26","RON","TEST39","489","PAY"
"4.0","TEST84","RON","TEST77","490","PAY"
"2.0","TEST16","RON","TEST95","491","PAY"
"12.0","TEST4","RON","TEST81","492","PAY"
"8.0","TEST57","RON","TEST5","493","PAY"
"5.0","TEST18","RON","TEST52","494","PAY"
"15.0","TEST83","RON","TEST46","495","PAY"
"9.0","TEST2","RON","TEST87","496","PAY"
"2.0","TEST64","RON","TEST4","497","PAY"
"3.0","TEST68","RON","TEST92","498","PAY"
"12.0","TEST42","RON","TEST45","499","PAY"
"18.0","TEST54","RON","TEST36","500","PAY"
"10.0","TEST52","RON","TEST24","501","PAY"
"4.0","TEST18","RON","TEST91","502","PAY"
"13.0","TEST14","RON","TEST46","503","PAY"
"2.0","TEST90","RON","TEST8","504","PAY"
"11.0","TEST62","RON","TEST35","505","PAY"
"12.0","TEST61","RON","TEST78","506","PAY"
"7.0","TEST8","RON","TEST76","507","PAY"
"1.0","TEST26","RON","TEST62","508","PAY"
"8.0","TEST41","RON","TEST33","509","PAY"
"14.0","TEST49","RON","TEST55","510","PAY"
"19.0","TEST7","RON","TEST32","511","PAY"
"4.0","TEST37","RON","TEST5","512","PAY"
"2.0","TEST62","RON","TEST14","513","PAY"
"11.0","TEST73","RON","TEST49","514","PAY"
"12.0","TEST9","RON","TEST96","515","PAY"
"13.0","TEST79","RON","TEST90","516","PAY"
"7.0","TEST93","RON","TEST50","517","PAY"
"9.0","TEST25","RON","TEST99","518","PAY"
"13.0","TEST99","RON","TEST28","519","PAY"
"18.0","TEST88","RON","TEST67","520","PAY"
"3.0","TEST78","RON","TEST77","521","PAY"
"17.0","TEST11","RON","TEST63","522","PAY"
"18.0","TEST85","RON","TEST28","523","PAY"
"13.0","TEST35","RON","TEST34","524","PAY"
"15.0","TEST69","RON","TEST12","525","PAY"
"3.0","TEST40","RON","TEST99","526","PAY"
"5.0","TEST33","RON","TEST37","527","PAY"
"6.0","TEST14","RON","TEST89","528","PAY"
"13.0","TEST24","RON","TEST96","529","PAY"
"20.0","TEST79","RON","TEST73","530","PAY"
"8.0","TEST67","RON","TEST62","531","PAY"
"20.0","TEST76","RON","TEST98","532","PAY"
"10.0","TEST38","RON","TEST17","533","PAY"
"10.0","TEST51","RON","TEST36","534","PAY"
"7.0","TEST83","RON","TEST70","535","PAY"
"18.0","TEST89","RON","TEST51","536","PAY"
"3.0","CONTADMIN","RON","TEST67","537","PAY"
"12.0","TEST9","RON","TEST31","538","PAY"
"8.0","TEST64","RON","TEST42","539","PAY"
"2.0","TEST31","RON","TEST44","540","PAY"
"18.0","TEST22","RON","TEST41","541","PAY"
"12.0","TEST59","RON","TEST2","542","PAY"
"4.0","TEST81","RON","TEST98","543","PAY"
"18.0","TEST36","RON","TEST80","544","PAY"
"8.0","TEST4","RON","TEST17","545","PAY"
"2.0","TEST70","RON","TEST35","546","PAY"
"8.0","TEST34","RON","TEST37","547","PAY"
"16.0","TEST10","RON","TEST15","548","PAY"
"5.0","TEST36","RON","TEST95","549","PAY"
"12.0","TEST63","RON","TEST79","550","PAY"
"20.0","TEST32","RON","TEST66","551","PAY"
"20.0","TEST58","RON","TEST53","552","PAY"
"4.0","TEST77","RON","TEST14","553","PAY"
"12.0","TEST85","RON","CONTADMIN","554","PAY"
